TF	Target	EdgeWeight
FOXP1	UBTF	0.00224279030226171
KLF5	MCM4	0.002217779401689768
FOXP1	CCNB2	0.00218751048669219
FOXP1	SLC39A8	0.0021763977129012346
SOX2	MYOF	0.002169389510527253
KLF5	MIF	0.0021561244502663612
FOXP1	NR2C1	0.0021446936298161745
FOXP1	MAPK10	0.002143039833754301
FOXP1	HIF1A	0.002138726646080613
KLF5	SAP18	0.002136906608939171
EGR1	SLC39A8	0.002127633662894368
FOXP1	FST	0.0021267321426421404
FOXP1	CENPK	0.002126195700839162
HAND2	KLHL4	0.0021250788122415543
KLF5	DNMT1	0.0021206564269959927
FOXP1	BMP2	0.0021155821159482002
FOXP1	NFATC1	0.0021119732409715652
KLF5	PELI2	0.0021100740414112806
KLF5	GPC6	0.0021084884647279978
SOX2	DDAH1	0.0021072737872600555
FOXP1	DYNC1I1	0.002106761559844017
FOXP1	SAP18	0.0021059561986476183
KLF5	IFI16	0.002102876314893365
SOX2	HPRT1	0.0020945281721651554
SOX2	ZNF589	0.002093927701935172
SOX2	SLC39A8	0.0020938541274517775
FOXP1	DPH2	0.002093166345730424
EGR1	PLCB4	0.0020931183826178312
FOXP1	KLHL4	0.0020914189517498016
FOXP1	CD9	0.0020905248820781708
KLF5	ERCC-00062	0.0020887451246380806
FOXP1	PPARA	0.0020877132192254066
FOXP1	YPEL5	0.0020868738647550344
KLF5	ERCC6L	0.002083701314404607
FOXP1	PRIM1	0.0020832354202866554
MXI1	COL1A2	0.002080918289721012
SOX2	WDR3	0.0020744523499161005
EGR1	ELMO1	0.0020735962316393852
EGR1	ERCC-00004	0.0020718511659651995
SOX2	MIF	0.002070164540782571
KLF5	ENO1	0.0020645842887461185
LEF1	FBXO5	0.0020627877674996853
EGR1	ERCC-00042	0.0020625381730496883
EGR1	HPRT1	0.0020618578419089317
TCF4	AK4	0.002061332343146205
FOXP1	NRIP1	0.002059580059722066
FOXP1	MED14	0.0020589586347341537
KLF5	NR2C1	0.0020582855213433504
MXI1	CTNNB1	0.002056807978078723
KLF5	FBXO5	0.0020567290484905243
