# IRF4-IRF4,IRF4-REL,IRF4-PAX5,IRF4-RELA,IRF4-PRDM1,IRF4-AICDA,REL-IRF4,REL-REL,REL-PAX5,REL-RELA,REL-PRDM1,REL-AICDA,PAX5-IRF4,PAX5-REL,PAX5-PAX5,PAX5-RELA,PAX5-PRDM1,PAX5-AICDA,RELA-IRF4,RELA-REL,RELA-PAX5,RELA-RELA,RELA-PRDM1,RELA-AICDA,PRDM1-IRF4,PRDM1-REL,PRDM1-PAX5,PRDM1-RELA,PRDM1-PRDM1,PRDM1-AICDA,AICDA-IRF4,AICDA-REL,AICDA-PAX5,AICDA-RELA,AICDA-PRDM1,AICDA-AICDA
1.263813625148276554e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.256515965603906215e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.224886501937582750e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.184027431168501954e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.097573574831216980e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.445903222971372415e-01
1.263813625148276554e+00,-7.452245729885076560e-03,1.304953154855384781e-03,1.475191961308886923e-03,1.523526791049635218e-02,-1.632902118560901426e-04,-7.452245729885076560e-03,1.256515965603906215e+00,7.750634910365167100e-03,1.043538440708442934e-03,-1.584973133301868786e-02,7.180601083549906574e-03,1.304953154855384781e-03,7.750634910365167100e-03,1.224886501937582750e+00,5.557973506449135140e-03,-1.189472867835655347e-02,7.143755181645903944e-03,1.475191961308886923e-03,1.043538440708442934e-03,5.557973506449135140e-03,1.184027431168501954e+00,-2.005026728469957130e-03,3.976488512244743829e-04,1.523526791049635218e-02,-1.584973133301868786e-02,-1.189472867835655347e-02,-2.005026728469957130e-03,1.097573574831216980e+00,-7.267061968326453750e-03,-1.632902118560901426e-04,7.180601083549906574e-03,7.143755181645903944e-03,3.976488512244743829e-04,-7.267061968326453750e-03,9.445903222971372415e-01
1.263813625148276554e+00,-1.414427187453866190e-02,2.157034757558083920e-03,2.599021484831022522e-03,2.926083753651220754e-02,-5.607953134770234192e-04,-1.414427187453866190e-02,1.256515965603906215e+00,1.490914475420308978e-02,2.115265703574873996e-03,-2.959893742081838933e-02,1.386541510011422319e-02,2.157034757558083920e-03,1.490914475420308978e-02,1.224886501937582750e+00,1.044320107560746912e-02,-2.231011230192926284e-02,1.359026444780579712e-02,2.599021484831022522e-03,2.115265703574873996e-03,1.044320107560746912e-02,1.184027431168501954e+00,-3.541263014772441306e-03,6.966320039234127903e-04,2.926083753651220754e-02,-2.959893742081838933e-02,-2.231011230192926284e-02,-3.541263014772441306e-03,1.097573574831216980e+00,-1.383742491923962634e-02,-5.607953134770234192e-04,1.386541510011422319e-02,1.359026444780579712e-02,6.966320039234127903e-04,-1.383742491923962634e-02,9.445903222971372415e-01
1.263813625148276554e+00,-2.014937076049215861e-02,2.648318071671378234e-03,3.434048432869733856e-03,4.213141896636167505e-02,-1.134570224140181785e-03,-2.014937076049215861e-02,1.256515965603906215e+00,2.147048000774065893e-02,3.175686397411469231e-03,-4.155474883875607400e-02,2.005723264170031564e-02,2.648318071671378234e-03,2.147048000774065893e-02,1.224886501937582750e+00,1.472093498850542831e-02,-3.144590593535554618e-02,1.938830851840909336e-02,3.434048432869733856e-03,3.175686397411469231e-03,1.472093498850542831e-02,1.184027431168501954e+00,-4.705282876548802160e-03,9.050352995676984444e-04,4.213141896636167505e-02,-4.155474883875607400e-02,-3.144590593535554618e-02,-4.705282876548802160e-03,1.097573574831216980e+00,-1.978108616047333929e-02,-1.134570224140181785e-03,2.005723264170031564e-02,1.938830851840909336e-02,9.050352995676984444e-04,-1.978108616047333929e-02,9.445903222971372415e-01
1.263813625148276554e+00,-2.553422186009894970e-02,2.857471998985796745e-03,4.034193805038159553e-03,5.391000283086377909e-02,-1.836018510087487031e-03,-2.553422186009894970e-02,1.256515965603906215e+00,2.744826317562107376e-02,4.198804766622371044e-03,-5.197433286632417715e-02,2.576849877998393934e-02,2.857471998985796745e-03,2.744826317562107376e-02,1.224886501937582750e+00,1.845536315293845944e-02,-3.947211790838513895e-02,2.458859895705904283e-02,4.034193805038159553e-03,4.198804766622371044e-03,1.845536315293845944e-02,1.184027431168501954e+00,-5.574119520368996800e-03,1.032579390374893918e-03,5.391000283086377909e-02,-5.197433286632417715e-02,-3.947211790838513895e-02,-5.574119520368996800e-03,1.097573574831216980e+00,-2.516084111747960567e-02,-1.836018510087487031e-03,2.576849877998393934e-02,2.458859895705904283e-02,1.032579390374893918e-03,-2.516084111747960567e-02,9.445903222971372415e-01
1.263813625148276554e+00,-3.035944310369196111e-02,2.850519224753450803e-03,4.445307376555674567e-03,6.466414837928105563e-02,-2.624986675061709816e-03,-3.035944310369196111e-02,1.256515965603906215e+00,3.286814046096130787e-02,5.168400039704344924e-03,-6.107381297790991787e-02,3.101835369281011681e-02,2.850519224753450803e-03,3.286814046096130787e-02,1.224886501937582750e+00,2.170757945364962943e-02,-4.653387635548433127e-02,2.924191198056875704e-02,4.445307376555674567e-03,5.168400039704344924e-03,2.170757945364962943e-02,1.184027431168501954e+00,-6.209326167454560889e-03,1.089699339867460526e-03,6.466414837928105563e-02,-6.107381297790991787e-02,-4.653387635548433127e-02,-6.209326167454560889e-03,1.097573574831216980e+00,-3.003286648563379888e-02,-2.624986675061709816e-03,3.101835369281011681e-02,2.924191198056875704e-02,1.089699339867460526e-03,-3.003286648563379888e-02,9.445903222971372415e-01
1.263813625148276554e+00,-3.468012333341768949e-02,2.682012962420853193e-03,4.705928545396672984e-03,7.446326249694402988e-02,-3.468788117633091195e-03,-3.468012333341768949e-02,1.256515965603906215e+00,3.776301825474095986e-02,6.075238922573933213e-03,-6.903550758136389742e-02,3.583032208445623840e-02,2.682012962420853193e-03,3.776301825474095986e-02,1.224886501937582750e+00,2.453439585962487179e-02,-5.275544232506545334e-02,3.339773768412215849e-02,4.705928545396672984e-03,6.075238922573933213e-03,2.453439585962487179e-02,1.184027431168501954e+00,-6.660145982827677877e-03,1.086877635918727597e-03,7.446326249694402988e-02,-6.903550758136389742e-02,-5.275544232506545334e-02,-6.660145982827677877e-03,1.097573574831216980e+00,-3.444736796362092568e-02,-3.468788117633091195e-03,3.583032208445623840e-02,3.339773768412215849e-02,1.086877635918727597e-03,-3.444736796362092568e-02,9.445903222971372415e-01
1.263813625148276554e+00,-3.854631146644341144e-02,2.396396320240593882e-03,4.848128095970039367e-03,8.337663321751601075e-02,-4.341222724091706349e-03,-3.854631146644341144e-02,1.256515965603906215e+00,4.216968916322551969e-02,6.915003543965513554e-03,-7.601379905188070107e-02,4.023054028206038413e-02,2.396396320240593882e-03,4.216968916322551969e-02,1.224886501937582750e+00,2.698774627003115364e-02,-5.824352475789430078e-02,3.710335276542224558e-02,4.848128095970039367e-03,6.915003543965513554e-03,2.698774627003115364e-02,1.184027431168501954e+00,-6.966002121402116443e-03,1.034184652413354302e-03,8.337663321751601075e-02,-7.601379905188070107e-02,-5.824352475789430078e-02,-6.966002121402116443e-03,1.097573574831216980e+00,-3.844922053023460545e-02,-4.341222724091706349e-03,4.023054028206038413e-02,3.710335276542224558e-02,1.034184652413354302e-03,-3.844922053023460545e-02,9.445903222971372415e-01
1.263813625148276554e+00,-4.200345722929159364e-02,2.029392426599805049e-03,4.898355999535976626e-03,9.147203628879235771e-02,-5.221637809331444204e-03,-4.200345722929159364e-02,1.256515965603906215e+00,4.612647891673978678e-02,7.686763011351570828e-03,-8.213989682123448710e-02,4.424642150741725510e-02,2.029392426599805049e-03,4.612647891673978678e-02,1.224886501937582750e+00,2.911449474772882101e-02,-6.309002376861710948e-02,4.040322853686513505e-02,4.898355999535976626e-03,7.686763011351570828e-03,2.911449474772882101e-02,1.184027431168501954e+00,-7.158463985884422169e-03,9.409829710525913476e-04,9.147203628879235771e-02,-8.213989682123448710e-02,-6.309002376861710948e-02,-7.158463985884422169e-03,1.097573574831216980e+00,-4.207856625002312501e-02,-5.221637809331444204e-03,4.424642150741725510e-02,4.040322853686513505e-02,9.409829710525913476e-04,-4.207856625002312501e-02,9.445903222971372415e-01
1.263813625148276554e+00,-4.509280676383204539e-02,1.609333082680422956e-03,4.878248414000928984e-03,9.881477557048255755e-02,-6.094059350825918424e-03,-4.509280676383204539e-02,1.256515965603906215e+00,4.967163960196629979e-02,8.391855690070431500e-03,-8.752571157885173647e-02,4.790567252721117386e-02,1.609333082680422956e-03,4.967163960196629979e-02,1.224886501937582750e+00,3.095651016077297438e-02,-6.737430559061748092e-02,4.333869590994586518e-02,4.878248414000928984e-03,8.391855690070431500e-03,3.095651016077297438e-02,1.184027431168501954e+00,-7.262806681593856999e-03,8.157567953098283572e-04,9.881477557048255755e-02,-8.752571157885173647e-02,-6.737430559061748092e-02,-7.262806681593856999e-03,1.097573574831216980e+00,-4.537135525476771597e-02,-6.094059350825918424e-03,4.790567252721117386e-02,4.333869590994586518e-02,8.157567953098283572e-04,-4.537135525476771597e-02,9.445903222971372415e-01
